年份,季別,平均匯率(元/美元),國內投資毛額,投資率,工業生產指數,製造業銷售量指數,電力(企業)總用電量(十億度),進口物價基本分類指數,出口物價基本分類指數,進口貿易總值,出口貿易總值,機械及電機設備進口值(十億元),消費者物價指數,失業率,就業人數（千人）,總人口數(千人),景氣領先指標綜合指數(點),景氣同時指標綜合指數(點),gdp_t1,gdp_t2,gdp_t3
1982,1,37.91,102048,22.1,27.57,30.02,4.85,231.63,311.21,147089.0,135223.67,0.0,129.59,3.42,15826.0,42389.67,28.72,30.21,,,
1982,2,38.78,143589,29.41,30.35,33.54,5.46,231.87,315.17,172059.67,156827.0,0.0,130.53,4.12,15577.33,42570.33,28.81,29.0,461774,,
1982,3,39.65,117934,24.09,30.06,32.76,5.81,234.5,317.22,181502.67,148698.0,0.0,133.1,5.75,16000.33,42742.0,28.5,28.87,488234,461774,
1982,4,40.15,144192,28.92,29.86,32.7,5.66,234.53,315.38,168145.0,135928.0,0.0,132.11,6.41,16146.33,42952.67,29.05,29.58,489504,488234,461774
1983,1,39.97,99632,20.11,29.28,31.8,5.21,227.62,309.54,153110.0,131671.0,0.0,132.95,7.15,16260.67,43145.67,31.46,30.78,498511,489504,488234
1983,2,40.03,136302,24.87,33.58,37.08,5.83,225.52,310.2,199176.67,147168.67,0.0,134.2,5.87,16058.0,43313.67,34.28,32.33,495361,498511,489504
1983,3,40.12,137519,24.79,35.7,37.99,6.6,227.53,312.6,218520.0,168830.0,0.0,133.16,6.69,16696.67,43461.33,35.2,34.25,548158,495361,498511
1983,4,40.19,178169,31.19,35.31,38.45,6.36,228.58,314.27,211517.33,184638.33,0.0,132.54,5.89,16966.33,43647.33,35.74,35.84,554774,548158,495361
1984,1,40.15,105972,18.85,35.07,37.95,5.68,229.09,315.13,204495.67,156048.33,0.0,131.41,5.79,17051.67,43767.0,37.16,37.48,571153,554774,548158
1984,2,39.77,161892,26.12,38.64,42.72,6.45,227.09,313.45,253667.67,176628.0,0.0,133.44,4.86,16789.0,43917.0,38.15,38.45,562116,571153,554774
