工業生產指數,製造業銷售量指數,電力(企業)總用電量(十億度),進口物價基本分類指數,出口物價基本分類指數,進口貿易總值,出口貿易總值,機械及電機設備進口值(十億元),消費者物價指數,失業率,就業人數（千人）,總人口數(千人),景氣領先指標綜合指數(點),景氣同時指標綜合指數(點)
61.30,72.40,10.98,161.17,260.85,413574.67,333367.00,98.81,156.20,3.51,19849.00,47902.33,58.04,58.57
54.99,64.62,9.69,153.62,252.05,367429.33,324406.33,96.77,157.48,3.37,19922.00,48011.00,58.65,58.42
60.38,71.82,11.78,154.01,251.90,411988.33,353358.00,111.33,161.06,3.24,19994.67,48109.67,58.98,58.59
60.68,71.00,12.62,155.93,251.11,409557.33,370998.33,114.13,160.06,4.25,20239.67,48225.33,58.50,58.45
60.32,71.82,11.27,156.88,255.77,425038.33,379434.67,116.93,162.44,3.33,20379.33,48365.33,57.87,58.11
55.21,65.66,10.04,156.53,260.13,390140.67,370224.33,113.04,162.73,3.00,20258.33,48452.00,58.27,58.65
61.50,74.19,11.79,161.31,263.33,452329.00,405044.00,125.42,165.41,3.10,20285.33,48552.00,59.66,59.55
63.51,74.93,13.24,166.44,270.30,458284.67,403834.67,128.96,164.75,4.14,20542.00,48665.33,60.61,60.36
62.31,74.24,12.24,164.57,269.28,467859.33,411898.67,128.38,166.50,3.38,20541.67,48798.33,61.80,60.97
57.63,69.56,10.93,162.02,263.72,414783.67,407378.33,129.60,168.26,3.37,20545.33,48904.33,63.41,62.37
65.45,80.22,13.07,168.34,266.28,494768.67,443779.67,142.95,171.18,3.32,20708.33,49014.67,65.18,64.00
65.38,79.22,13.60,173.78,269.05,492604.00,440661.33,140.83,174.23,4.39,21001.33,49127.00,67.80,65.17
68.14,82.72,13.13,176.53,269.42,552012.00,490305.00,155.51,173.51,3.57,21132.33,49258.00,69.29,67.08
62.99,76.79,11.75,183.07,278.98,502750.67,473783.33,154.72,175.45,3.59,21099.67,49332.00,68.38,68.71
70.22,84.28,13.88,187.93,277.74,581748.33,563506.00,183.70,177.98,3.75,21018.33,49433.33,66.79,68.77
69.51,81.92,14.48,191.95,290.93,619016.33,566668.67,199.28,178.85,4.72,21170.67,49549.33,65.00,67.61
68.21,82.34,13.78,187.68,293.56,648465.33,553424.67,205.13,179.91,4.60,21171.67,49673.33,62.61,66.64
64.10,76.83,12.38,187.65,295.34,589213.33,532614.67,196.62,180.74,4.88,21243.00,49749.00,61.55,66.70
70.33,85.76,13.78,184.69,288.46,630385.33,552623.00,189.22,182.94,5.43,21072.33,49815.67,63.93,67.66
71.35,84.97,15.12,181.24,289.33,626448.00,534853.00,187.35,184.83,7.17,21044.33,49927.67,67.67,69.44
73.73,88.88,14.72,179.90,289.21,655101.00,575250.67,204.58,185.87,6.78,21262.00,50040.00,70.94,71.75
67.30,82.21,13.10,176.49,287.74,602205.67,559255.33,193.39,184.15,6.58,21299.00,50147.67,74.41,73.52
75.13,90.68,15.37,175.51,287.63,654849.00,607929.33,220.53,184.40,5.99,21300.67,50224.00,77.40,74.25
76.21,90.43,16.27,179.16,293.11,682217.67,642108.00,233.67,187.10,6.83,21391.00,50366.00,78.63,75.21
79.84,94.52,15.85,190.46,314.73,774763.00,697384.67,252.66,185.27,6.05,21613.67,50525.67,77.92,76.75
70.81,84.59,13.97,192.98,329.52,665584.67,671520.00,269.28,186.60,5.70,21676.67,50654.67,75.63,76.83
77.88,91.37,16.33,182.90,318.09,724040.33,686096.67,261.70,187.77,5.56,21635.33,50759.33,72.97,76.03
79.00,93.27,17.40,181.86,314.48,762358.00,661057.00,279.25,188.23,6.97,21644.67,50878.00,72.09,76.29
81.10,95.71,16.28,173.15,294.62,742579.33,686586.33,297.27,190.98,6.84,21752.00,50984.33,74.22,77.46
74.33,88.79,14.28,170.60,289.53,685113.33,616621.00,285.56,188.46,6.44,21780.67,51080.00,79.27,79.47
85.08,101.96,17.13,171.11,286.86,767369.00,661586.00,295.10,187.87,6.56,21779.33,51174.67,84.65,82.17
84.66,98.80,18.39,173.45,283.64,779575.67,717974.33,307.96,188.64,7.36,21967.33,51274.00,87.74,83.47
88.67,105.47,17.57,181.45,286.21,861306.00,793571.67,380.70,190.62,6.94,22068.00,51367.67,90.05,85.84
81.63,99.35,15.96,178.87,278.76,785224.67,741576.67,339.67,189.92,6.59,22043.33,51468.67,92.84,90.13
90.74,109.41,18.74,179.45,280.50,924767.67,885791.67,420.02,190.51,6.47,22084.67,51560.33,93.38,94.00
92.34,110.22,19.61,183.62,284.63,971129.33,919178.67,441.81,190.46,7.25,22210.33,51659.67,89.75,95.27
92.60,108.97,19.04,188.05,290.40,989718.33,891003.00,418.50,193.73,7.51,22249.00,51780.33,84.82,92.84
80.86,96.66,16.37,181.69,285.04,798186.33,723440.67,328.88,191.11,8.38,22003.00,51881.33,81.68,88.29
83.24,99.88,18.47,180.77,283.35,829517.33,753354.67,327.16,190.64,9.68,21806.00,51945.33,79.06,83.45
81.91,97.32,20.00,183.74,288.85,791402.33,689044.67,290.57,190.77,11.84,21872.67,52016.33,78.15,80.33
84.24,101.34,18.68,175.83,282.63,895456.33,723523.67,329.29,193.13,12.35,21897.67,52090.67,82.20,81.18
79.29,96.24,16.43,174.73,281.58,782145.00,620873.67,289.04,190.87,11.98,22005.67,52157.33,88.96,85.41
92.22,109.91,20.13,181.12,280.99,923713.33,795535.33,347.01,190.63,11.70,22042.33,52218.33,92.87,89.91
92.50,108.64,21.41,180.74,276.31,903213.00,800180.00,341.53,190.69,12.35,22089.67,52280.33,92.75,91.59
93.30,111.91,20.19,186.08,283.09,987675.67,813477.00,360.44,191.46,12.21,22099.67,52353.33,91.44,92.47
88.08,105.31,17.71,191.80,279.97,872476.67,766791.33,323.07,190.45,11.89,22195.33,52417.67,90.77,92.77
95.29,111.32,20.30,188.76,278.82,969786.67,832835.00,323.06,190.63,11.60,22238.67,52453.33,92.91,92.85
99.92,117.07,22.51,188.85,274.88,1017026.67,858059.67,357.74,189.34,12.05,22400.67,52492.67,99.53,96.75
105.45,125.55,21.19,191.81,272.03,1123489.00,959532.67,412.64,191.01,11.16,22493.67,52550.67,105.10,102.76
99.80,118.53,18.95,198.35,274.22,1058221.33,975832.33,397.23,191.22,10.62,22621.33,52604.00,108.50,106.61
108.94,128.91,21.83,204.17,278.44,1213405.67,1106022.67,418.67,192.62,10.28,22759.67,52641.00,109.90,107.81
107.67,128.00,23.68,213.34,286.47,1230127.33,1122260.00,445.85,194.86,10.79,22927.67,52687.00,109.29,108.31
109.25,127.80,22.25,211.35,285.19,1263663.33,1203116.00,482.34,194.65,9.81,23002.67,52740.33,108.27,108.66
100.96,121.26,19.12,203.94,273.04,1081520.00,1031488.67,399.39,193.83,9.72,23067.33,52791.67,107.96,109.11
110.28,131.10,23.07,207.35,269.70,1223098.67,1176463.00,425.90,196.54,9.55,23123.67,52818.33,109.50,110.03
111.34,134.32,24.75,213.88,273.09,1234956.00,1160665.33,433.61,200.73,10.06,23230.00,52868.00,112.52,111.89
115.46,140.59,23.60,220.86,280.48,1441891.67,1261492.67,477.19,199.65,9.30,23362.67,52917.33,114.30,115.25
108.44,131.13,20.81,217.10,270.88,1244635.67,1185696.00,432.70,196.98,9.01,23387.00,52970.67,115.82,117.42
116.99,141.53,24.18,227.62,276.09,1418737.67,1316976.33,460.44,199.40,8.95,23469.67,53015.33,117.82,117.79
117.52,141.11,25.04,239.70,286.99,1504864.00,1388253.00,491.12,200.56,9.46,23688.67,53072.67,119.61,117.66
116.33,141.30,24.80,236.41,287.78,1526886.33,1348105.00,487.38,199.02,9.03,23798.33,53138.67,120.99,118.41
109.39,134.23,21.84,234.42,284.47,1366166.67,1222747.00,417.92,198.99,8.88,23896.67,53182.67,122.89,120.15
124.08,151.58,25.24,250.11,292.54,1541401.00,1441610.33,479.99,200.00,9.02,23925.67,53209.33,126.28,123.11
129.87,159.09,27.16,253.31,292.50,1653135.67,1508363.33,513.26,202.55,9.45,24110.67,53264.67,129.29,127.25
133.83,164.81,25.91,263.27,292.89,1717489.00,1448611.33,470.59,208.61,9.07,24129.33,53321.33,128.95,131.50
124.88,155.55,23.27,270.33,286.86,1544107.00,1455091.00,456.69,205.92,9.03,24200.00,53385.67,126.84,134.45
134.52,165.55,26.97,282.02,285.57,1664929.00,1561104.00,444.90,207.94,8.97,24279.33,53419.67,124.01,133.57
132.85,158.49,26.03,291.70,291.06,1718838.33,1727481.00,453.05,212.55,9.62,24368.33,53458.00,115.60,124.29
105.12,132.09,22.54,252.93,278.29,1387606.67,1221725.33,391.53,212.84,10.69,24285.33,53504.67,103.70,104.75
81.16,116.63,19.04,238.36,266.16,1024574.67,817700.33,281.55,205.98,13.00,23933.67,53560.33,103.47,93.42
111.14,141.71,22.56,238.68,261.52,1231317.67,1041845.67,341.94,206.85,13.56,23881.67,53583.67,115.71,101.91
124.86,153.42,26.29,252.10,266.58,1410293.33,1261339.00,408.68,209.40,14.21,23969.00,53619.67,127.85,116.78
131.59,157.58,24.57,256.41,268.17,1514866.00,1331537.33,470.74,209.57,13.73,24140.33,53674.00,135.74,128.44
128.12,153.73,22.29,258.78,270.87,1489870.33,1377045.33,459.88,208.64,13.33,24222.33,53718.33,139.76,136.94
147.28,174.74,25.57,265.58,273.74,1757721.67,1580911.33,529.03,209.06,12.25,24367.33,53736.67,142.09,142.66
150.69,176.33,28.04,266.00,272.94,1794391.67,1641726.00,581.55,210.23,12.05,24618.33,53756.00,144.86,146.45
150.16,175.15,26.49,266.44,267.20,1751831.67,1632842.33,567.01,211.82,11.21,24702.67,53779.00,148.71,150.46
144.27,168.41,23.40,274.49,266.17,1648891.00,1572364.67,516.89,211.22,10.82,24767.00,53800.00,151.13,153.42
154.25,176.99,26.87,285.12,270.97,1861611.67,1739517.00,550.14,212.29,10.01,24883.33,53817.33,150.76,152.69
151.50,175.73,29.14,285.41,270.86,1820608.67,1638574.00,512.70,213.04,10.29,25117.33,53856.33,148.18,149.79
144.02,168.57,27.12,290.90,276.00,1831777.33,1612214.00,503.49,214.50,9.97,25153.67,53897.67,145.97,147.38
137.09,160.97,23.81,288.96,272.40,1612965.00,1504066.67,457.92,213.95,9.82,25200.00,53941.67,148.84,148.13
153.09,176.55,28.10,283.37,269.59,1787047.00,1679010.67,497.73,215.73,9.62,25270.00,53977.33,150.86,150.65
155.88,178.37,29.30,280.26,266.54,1780273.00,1625404.67,506.20,219.32,10.15,25410.00,54025.33,151.07,151.44
153.08,177.40,27.44,273.61,260.98,1780002.33,1552607.00,454.33,218.59,9.99,25458.67,54082.33,152.63,152.25
144.04,165.80,24.78,273.07,262.25,1616171.67,1558928.00,461.48,218.09,9.79,25490.33,54137.33,156.69,154.78
157.72,180.62,28.50,267.48,262.66,1834401.33,1613463.00,520.27,217.57,9.51,25521.00,54158.67,160.28,157.99
162.25,182.13,29.76,267.79,261.86,1808593.67,1564287.00,480.32,218.91,9.99,25644.00,54187.00,161.92,159.42
158.14,181.81,27.60,265.42,258.88,1835690.33,1569777.67,483.18,219.94,9.76,25691.33,54212.00,164.60,160.55
150.10,169.39,24.88,270.32,264.51,1681801.33,1536767.33,462.46,219.32,9.45,25730.67,54237.33,169.02,163.48
167.83,191.75,28.44,268.01,262.79,1915240.67,1668197.00,524.10,221.13,9.07,25779.33,54251.00,171.08,167.60
175.34,191.72,30.70,264.95,261.57,1940736.67,1712198.33,520.28,222.72,9.42,25900.67,54285.33,170.38,170.51
174.03,190.96,28.41,251.20,258.84,1929667.00,1623047.00,521.56,221.93,9.10,25974.00,54327.67,169.16,171.49
161.52,179.74,25.12,234.26,254.05,1708058.00,1390992.67,494.92,218.06,8.64,26039.67,54374.33,169.25,170.93
169.20,188.66,28.65,230.37,248.29,1778325.33,1455052.00,494.12,219.48,8.49,26077.33,54397.00,168.59,168.29
166.93,184.15,30.43,228.17,248.76,1753608.33,1486803.67,519.07,221.79,9.02,26178.67,54413.33,167.62,164.73
162.41,183.42,28.61,223.66,247.49,1770916.67,1468752.33,538.73,222.77,9.10,26207.33,54444.00,167.14,162.67
151.12,169.59,25.13,219.17,246.97,1566514.67,1262215.67,480.26,221.69,9.12,26220.67,54483.67,168.05,163.19
